query_type,target_embedding_type,smallest_k_matched,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
alt,image,54637,0.0784313725490196,0.10784313725490197,0.15196078431372548,0.1568627450980392,0.16176470588235295,0.17647058823529413,0.19607843137254902,0.20098039215686275,0.20098039215686275,0.22058823529411764
alt,spec,166886,0.03431372549019608,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.05392156862745098
alt,text,23667,0.3137254901960784,0.3872549019607843,0.4411764705882353,0.47549019607843135,0.4950980392156863,0.5098039215686274,0.5245098039215687,0.5343137254901961,0.5588235294117647,0.5686274509803921
alt,text_0_2_4,21063,0.36764705882352944,0.43137254901960786,0.4803921568627451,0.5147058823529411,0.5490196078431373,0.5784313725490197,0.5833333333333334,0.5931372549019608,0.6029411764705882,0.6176470588235294
alt,text_0_2_4_llm_fs_single,20529,0.22549019607843138,0.2696078431372549,0.3137254901960784,0.35294117647058826,0.38235294117647056,0.4215686274509804,0.44607843137254904,0.45098039215686275,0.45588235294117646,0.46568627450980393
imgs,image,11487,0.6029411764705882,0.6617647058823529,0.6862745098039216,0.7205882352941176,0.7303921568627451,0.7352941176470589,0.7450980392156863,0.7450980392156863,0.75,0.7647058823529411
imgs,spec,206818,0.0196078431372549,0.024509803921568627,0.024509803921568627,0.024509803921568627,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.03431372549019608,0.03431372549019608,0.03431372549019608
imgs,text,70345,0.09803921568627451,0.10784313725490197,0.1323529411764706,0.14215686274509803,0.14705882352941177,0.15196078431372548,0.1568627450980392,0.1568627450980392,0.16176470588235295,0.18627450980392157
imgs,text_0_2_4,61472,0.11274509803921569,0.13725490196078433,0.15196078431372548,0.1568627450980392,0.16176470588235295,0.16176470588235295,0.16666666666666666,0.1715686274509804,0.1715686274509804,0.19117647058823528
imgs,text_0_2_4_llm_fs_single,13821,0.2107843137254902,0.27450980392156865,0.3431372549019608,0.3872549019607843,0.4166666666666667,0.45098039215686275,0.46568627450980393,0.47549019607843135,0.47549019607843135,0.4852941176470588
specs,image,190946,0.029411764705882353,0.03431372549019608,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.06372549019607843
specs,spec,35930,0.29411764705882354,0.3627450980392157,0.43137254901960786,0.46568627450980393,0.4950980392156863,0.5049019607843137,0.5245098039215687,0.5343137254901961,0.5392156862745098,0.5441176470588235
specs,spec_frequency,1229,0.5882352941176471,0.6666666666666666,0.7303921568627451,0.7696078431372549,0.7843137254901961,0.8235294117647058,0.8382352941176471,0.8480392156862745,0.8578431372549019,0.8676470588235294
specs,spec_onehot,2877,0.5833333333333334,0.6323529411764706,0.7009803921568627,0.7401960784313726,0.7647058823529411,0.7843137254901961,0.7941176470588235,0.8137254901960784,0.8333333333333334,0.8382352941176471
specs,text,199251,0.06862745098039216,0.06862745098039216,0.06862745098039216,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.07352941176470588,0.0784313725490196,0.0784313725490196,0.0784313725490196
specs,text_0_2_4,215347,0.05392156862745098,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.06372549019607843,0.06862745098039216,0.06862745098039216,0.07352941176470588
specs,text_0_2_4_llm_fs_single,62051,0.024509803921568627,0.049019607843137254,0.058823529411764705,0.06372549019607843,0.0784313725490196,0.08333333333333333,0.09313725490196079,0.09803921568627451,0.10784313725490197,0.15196078431372548
